date,value1,value2
1935,1,1
1936,2,2
1937,2,2
1938,2,2
1939,3,3
1940,5,5
1941,1,1
1942,2,2
1943,0,0
1944,2,2
1945,4,4
1946,3,3
1947,3,3
1948,3,3
1949,2,2
1950,1,1
1951,3,3
1952,4,4
1953,4,4
1954,4,4
1955,2,2
1956,3,3
1957,2,2
1958,1,1
1959,3,3
1960,3,3
1961,5,5
1962,7,7
1963,8,8
1964,10,10
1965,8,8
1966,6,6
1967,4,4
1968,10,10
1969,10,10
1970,12,12
1971,10,10
1972,9,9
1973,9,9
1974,8,8
1975,6,6
1976,9,9
1977,16,16
1978,14,14
1979,15,15
1980,22,22
1981,33,33
1982,24,24
1983,23,23
1984,28,28
1985,28,28
1986,26,26
1987,31,31
1988,31,31
1989,32,32
1990,29,29
1991,30,30
1992,34,34
1993,47,47
1994,54,54
1995,70,70
1996,97,97
1997,111,111
1998,130,130
1999,169,169
2000,163,163
2001,183,183
2002,202,202
2003,167,167
2004,204,204
2005,216,216
2006,236,236
2007,194,194
2008,227,227
2009,245,245
2010,224,224
2011,222,222
2012,207,207
2013,230,230
2014,238,238
2015,213,213
2016,104,104